gainera	gai.ne.ra
ezagunean	e.za.gu.ne.an
euskotrenen	eus.ko.tre.nen
euskalerrikideon	eus.ka.le.rri.ki.de.on
euskaldunari	eus.kal.du.na.ri
euriteak	eu.ri.te.ak
etxebitzatan	e.txe.bi.tza.tan
estutasun	es.tu.ta.sun
estrukturalaren	es.truk.tu.ra.la.ren
espilondo	es.pi.lon.do
espetxeratutako	es.pe.txe.ra.tu.ta.ko
espetxeen	es.pe.txe.en
esperimentazioak	es.pe.ri.men.ta.zi.o.ak
espazioetan	es.pa.zi.o.e.tan
espaiolek	es.pai.o.lek
eskualdea	es.ku.al.de.a
eskontzea	es.kon.tze.a
eskatzeagatik	es.ka.tze.a.ga.tik
eskailerako	es.kai.le.ra.ko
esainauxkin	e.sai.naux.kin
errusiarena	e.rru.si.a.re.na
erromantizismo	e.rro.man.ti.zis.mo
errekurtsotik	e.rre.kur.tso.tik
eromenak	e.ro.me.nak
ermuan	er.mu.an
erdiirtenda	er.di.ir.ten.da
erantzunezina	e.ran.tzu.ne.zi.na
erantzuleak	e.ran.tzu.le.ak
eramateak	e.ra.ma.te.ak
eramangarri	e.ra.man.ga.rri
!erakuslehio	e.ra.kus.le.hi.o
erabiltzearekin	e.ra.bil.tze.a.re.kin
erabiltako	e.ra.bil.ta.ko
erabakitzearen	e.ra.ba.ki.tze.a.ren
?erabakitarako	e.ra.ba.ki.ta.ra.ko
english	en.glish
elurretako	e.lu.rre.ta.ko
elurpetik	e.lur.pe.tik
elkarrizketotan	el.ka.rriz.ke.to.tan
elkarretaratzeko	el.ka.rre.ta.ra.tze.ko
eleaniztasunaren	e.le.a.niz.ta.su.na.ren
elaialai	e.lai.a.lai
ekologikoari	e.ko.lo.gi.ko.a.ri
ekintzetxearen	e.kin.tze.txe.a.ren
egokienean	e.go.ki.e.ne.an
edozerk	e.do.zerk
ebanjelizazio	e.ban.je.li.za.zi.o
dueasekin	du.e.a.se.kin
#dollar	dol.lar
dolce	dol.ce
dirusaila	di.ru.sai.la
dinamitako	di.na.mi.ta.ko
dinamikari	di.na.mi.ka.ri
diferentziari	di.fe.ren.tzi.a.ri
diferente	di.fe.ren.te
didaten	di.da.ten
dezio	de.zi.o
deuseztatuko	deu.sez.ta.tu.ko
!deslokalizatua	des.lo.ka.li.za.tu.a
desenpaterik	de.sen.pa.te.rik
desbideratzeagatik	des.bi.de.ra.tze.a.ga.tik
desakreditatzeko	de.sa.kre.di.ta.tze.ko
desafioa	de.sa.fi.o.a
dermioa	der.mi.o.a
dendariei	den.da.ri.ei
delakoz	de.la.koz
#delaa	de.la.a
deitzaileren	dei.tzai.le.ren
darabiltzate	da.ra.bil.tza.te
dakarrenarekin	da.ka.rre.na.re.kin
dagokionaz	da.go.ki.o.naz
dagokeela	da.go.ke.e.la
credito	cre.di.to
#compostelavillarreal	com.pos.te.la.vil.la.rre.al
cesidek	ce.si.dek
centralen	cen.tra.len
carranzan	ca.rran.zan
cargo	car.go
calendreta	ca.len.dre.ta
busturiarraren	bus.tu.ri.a.rra.ren
burubero	bu.ru.be.ro
burkideena	bur.ki.de.e.na
!burcio	bur.ci.o
bufoia	bu.foi.a
bortuko	bor.tu.ko
blumine	blu.mi.ne
bizargina	bi.zar.gi.na
bitxorik	bi.txo.rik
bikotekiarekin	bi.ko.te.ki.a.re.kin
?bigarrenekin	bi.ga.rre.ne.kin
bidegabeak	bi.de.ga.be.ak
bidaiatzea	bi.dai.a.tze.a
biblioteketatik	bi.bli.o.te.ke.ta.tik
beven	be.ven
bertsukoak	ber.tsu.ko.ak
berrituaren	be.rri.tu.a.ren
berrekin	be.rre.kin
bernues	ber.nu.es
beretsuan	be.re.tsu.an
bereizmen	be.reiz.men
bereizkeriarik	be.reiz.ke.ri.a.rik
bereganaturik	be.re.ga.na.tu.rik
beraztuko	be.raz.tu.ko
beltzenean	bel.tze.ne.an
belauntzako	be.laun.tza.ko
beiruteko	bei.ru.te.ko
batikanoak	ba.ti.ka.no.ak
baterian	ba.te.ri.an
bateratsuak	ba.te.ra.tsu.ak
basorako	ba.so.ra.ko
baskoak	bas.ko.ak
barebare	ba.re.ba.re
bardeetako	bar.de.e.ta.ko
bandarekin	ban.da.re.kin
banadu	ba.na.du
balorazioaren	ba.lo.ra.zi.o.a.ren
baloiez	ba.loi.ez
balentriaz	ba.len.tri.az
bakartuago	ba.kar.tu.a.go
baitutu	bai.tu.tu
baharrezkoa	ba.ha.rrez.ko.a
bagdadek	bag.da.dek
baduten	ba.du.ten
badugulako	ba.du.gu.la.ko
babesera	ba.be.se.ra
azukregileak	a.zu.kre.gi.le.ak
azkenekoa	az.ke.ne.ko.a
azalaren	a.za.la.ren
axukre	a.xu.kre
ausartago	au.sar.ta.go
aulkirako	aul.ki.ra.ko
aukeztuko	au.kez.tu.ko
atxikimenduarekin	a.txi.ki.men.du.a.re.kin
atxikimenduak	a.txi.ki.men.du.ak
astigarragaren	as.ti.ga.rra.ga.ren
astelehenero	as.te.le.he.ne.ro
askien	as.ki.en
asanbaladak	a.san.ba.la.dak
artaldeak	ar.tal.de.ak
arritmiaren	a.rrit.mi.a.ren
arraskatatsua	a.rras.ka.ta.tsu.a
arnasestuka	ar.na.ses.tu.ka
argiagoak	ar.gi.a.go.ak
argenta	ar.gen.ta
?argaltasunaren	ar.gal.ta.su.na.ren
!arcok	ar.cok
!anticastristek	an.ti.cas.tris.tek
antiarengan	an.ti.a.ren.gan
animales	a.ni.ma.les
angularien	an.gu.la.ri.en
andikoetxea	an.di.ko.e.txe.a
andaluziatik	an.da.lu.zi.a.tik
amerikarrek	a.me.ri.ka.rrek
altuegia	al.tu.e.gi.a
alderdikideren	al.der.di.ki.de.ren
aldenduta	al.den.du.ta
aldakuntzak	al.da.kun.tzak
aldaketekin	al.da.ke.te.kin
albinoen	al.bi.no.en
alberdania	al.ber.da.ni.a
alargunarekin	a.lar.gu.na.re.kin
alabei	a.la.bei
alabantzatan	a.la.ban.tza.tan
akuarelaren	a.ku.a.re.la.ren
aktuazioetan	ak.tu.a.zi.o.e.tan
akademia	a.ka.de.mi.a
aizkorakada	aiz.ko.ra.ka.da
aitonamonak	ai.to.na.mo.nak
aipuak	ai.pu.ak
aipatuen	ai.pa.tu.en
aiam	ai.am
agiriekin	a.gi.ri.e.kin
agerraldiko	a.ge.rral.di.ko
adiskidetzeko	a.dis.ki.de.tze.ko
abiadurako	a.bi.a.du.ra.ko
